Timestamp,How would you score the class ,Explain why you gave that score? (What is good about the class? What is bad about the class? What could make the class better?),"Polarity (-1, 0, 1)",Suggestions (0 or 1),Suggestions,Flag (0 1),Flag Data
2/15/2019 13:42:01,1,we suck.                                                                                                                                                               ,,,,,
2/15/2019 14:37:29,1,no naptime / cheese ohnononononnononononononononononnononononononononononononoonononno,,,,,
2/15/2019 11:06:42,2,Because of mr liberman and i need to calm down and have leavened bread and unleavened bread and i need better grades.,,,,,
2/15/2019 11:08:46,2,"I gave this class a 2 because it is too fast for everyone to catch up and we barely have any time to communicate with each other. Also you scammed us of pizza, and I think you should stop giving us so much work, even though we don't have homework, it's still not good.",,,,,
2/15/2019 11:06:05,3,Mr. Liberman is a fun teacher but we have to right SO MUCH and write so much essays whcih make skids stressed out,,,,,
2/15/2019 11:06:52,3,I like this class because my friend is in this class. I hate this class because there is TOO MUCH work. And things go TOO FAST. Sometimes I can't catch up.,,,,,
2/15/2019 11:07:21,3,It's fun and everything but we watch too many videos and we take too many notes. Something that could make the class better is if Mr.Liberman gives us our pizza on time. We should play more games. We should pick our own seats. So... yeah.,,,,,
2/15/2019 11:07:34,3,It's kind of boring and has not  been any  projects in a while :(.Mabye more projects and free time.,,,,,
2/15/2019 11:09:17,3,"TO MU WRITINGGGG---------




-----ppppppppppppppppppppppppp why do i have o writ more",,,,,
2/15/2019 11:10:14,3,i gave this score because this class is helpful. A good thing is that Mr.Libermen wants you to get a good grade. A bad thing is that we have to do a lot of note taking. Nothing will make this class better.,,,,,
2/15/2019 11:56:54,3,"I have no opinion, the class was fine! To make the class better I think that we should no rush anything.",,,,,
2/15/2019 13:07:27,3,We don´t really listen. We don´t stay on track. We also have a few people that listen and don´t interrupt or get distracted.,,,,,
2/15/2019 13:40:02,3,Maybe we should do less writing and more videos/annotating taking notes takes more time and sometimes I can't read everything. If we do take notes you could maybe give us more time to finish them.,,,,,
2/15/2019 13:40:37,3,It is good but we have to write a lot of notes and it would be better if people could sit with friends and we did more interactive activities.,,,,,
2/15/2019 14:38:11,3,"Some people talk a lot and we are very loud, but this teacher is very good. We could have harsher punishments. Also, get rid of the mic ball because that makes people nervous. Lastly, take less notes.",,,,,
2/15/2019 15:30:21,3,I like that Mr. Liberman doesn't yell at us that much. I don't like that we have soooooooo many notes to take. Maybe you could give us pre-printed notes or something?,,,,,
2/15/2019 15:31:18,3,i dont know cause peoples talk and some peoples dont . Except there is one girl and one boy who are meany poo poo to the class,,,,,
2/15/2019 11:06:13,4,4.5 because everything is good except the essays I like this class because it is fun and you learn alot of stuff,,,,,
2/15/2019 11:07:08,4,I rate this class a four because we have to take a lot of notes but we get to take our notes digitally. It should also be so that we should choose our own seats. We also let us out late. I mostly enjoy the class because we get to take notes digitally  and because I have friends in this class.,,,,,
2/15/2019 11:07:17,4,it's a good class but you need to give us less notes to take and give us time to pack up for our next class,,,,,
2/15/2019 11:07:25,4,mr liberman is a really good teacher and lets me excell in his class but toomany notes seriosly,,,,,
2/15/2019 11:07:40,4,Sometimes mr.liberman can get a better timer and stop yelling at us. We should stop taking so many notes and we should do more activities.,,,,,
2/15/2019 11:07:42,4,The class is good we don't really talk that much while the teacher is talking but you are not doing a bad job and i think that's why it's a four out of five,,,,,
2/15/2019 11:07:56,4,I give the class that score because I like the projects in this class but I do not like taking note on the readings. I also like that we do not get a lot of homework.,,,,,
2/15/2019 11:08:52,4,"The class is a good class, everyone is respectful. I only have problems with one student because they are a bit annoying. Other than that this class is fun and learning is easy.",,,,,
2/15/2019 11:08:53,4,people shout often but other than that it is good. you shouldn't have to use a liber loot to go to the bathroom,,,,,
2/15/2019 11:09:08,4,Idk. (I need to write more so imma just type random things lalalalalalalalaalalalalalalalaalallallalala),,,,,
2/15/2019 11:09:23,4,This class is good because everyone works well together and it's easy. I don't k,,,,,
2/15/2019 11:10:04,4,Something good about our class is that it is fun and we dont have to use text books and something bad about our class is that we have to use 1 of our  liber loot for using the bathroom and,,,,,
2/15/2019 11:57:25,4,"I think it's a good class because we learn things things one by one, one thing i think you could improve the class is to teach us in a relaxing way.",,,,,
2/15/2019 11:57:38,4,"It is fun, I think sometimes you should do less notes and more projects! I think it is great.",,,,,
2/15/2019 11:57:52,4,I gave it this score because it is hard to get AWW points with the time we are given. Other than that it is my favorite class.,,,,,
2/15/2019 11:57:58,4,"I would give a 4 because we have an agenda, and it's super jammed together, but the class isn't so bad it's self",,,,,
2/15/2019 11:57:59,4,there is a lot of writing to do and we take to many notes. i also think that you go to fast.  you give us random essays that don't help.  ,,,,,
2/15/2019 11:58:18,4,i think its a good class because its a good learning enviornment and something that i dont like is we move a little too fast and we dont have enough time to write notes down.,,,,,
2/15/2019 11:58:53,4,"It is entertaining and I learn, and you are a better English teacher than all the real English teachers. But we have to write soooooooo much. It teaches stuff, but it is so much to write sometimes I just mindlessly copy it down. ",,,,,
2/15/2019 11:59:07,4,"The teacher is good. The class is interesting. I'm having no struggles. Te projects are fun. lastly, I kinda think that since the projects we have to buy out own supplies we should have a project with only paper",,,,,
2/15/2019 13:38:02,4,I gave it a 4 because it is a really fun class. I really like this class because we get to use laptops which I like and think that makes class go faster and get more things done.,,,,,
2/15/2019 13:39:05,4,The class is fun because we get to use computers. yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeet,,,,,
2/15/2019 13:40:08,4,this class is very fun and intertaing. the only thing is that people are interupting  the calls and its anoying. ,,,,,
2/15/2019 13:40:20,4,This class could be better by having more control over troublemakers *cough cough* Gabriel *cough cough*. You should not let students take advantage of you.,,,,,
2/15/2019 13:40:26,4,"This class is pretty fun and I feel like i'm actually learning.  Unlike other classes, this class is very interesting (I can cube).",,,,,
2/15/2019 13:40:45,4,I rate this class a 4 because sometimes we write a lot and it starts to get a little boring. Plus sometimes we don't get enough time to do things.,,,,,
2/15/2019 13:40:59,4,I like it but some people are interrupting the class. The videos are entertaining but we would always get the answers.The pizza is very nice though.,,,,,
2/15/2019 13:41:23,4,We do a lot of notes and annotating but we always have the chance to make up work. We get pizza parties and a liberloot shops. ,,,,,
2/15/2019 13:41:44,4,Why I gave it the score I did was that some people are loud and interrupt when Mr. Lieberman is talking.  I like this class because most of the pople are nice. What I don't like is that Some people are loud and interrupt when Mr. Lieberman is talking.  I don't know aht could make this class better sorry.,,,,,
2/15/2019 13:42:04,4,This class is good because it is right after lunch. Something bad about this class is that it is far away from my next class. Nothing could make this class better.,,,,,
2/15/2019 13:42:11,4,I gave this score because this is a great class and its very easy to get help and get a good grade in this class,,,,,
2/15/2019 13:42:25,4,It's okay. Nothing is bad. Or good. ..................................................................,,,,,
2/15/2019 13:42:26,4,This is a good class but there is too many notes to take. Something good about this class is that we get to do fun projects from what we learned. Maybe we could do other things than taking notes to make this class better.,,,,,
2/15/2019 13:42:29,4,"Talks too fast, video too fast, reading had too much words and too little time. Tells us answers after video but says it too fast. lets us talk. too much work. Fun class, should say the answer twice after the video. Keeps on blocking the board and should get a better quality screen and pull the projector back.",,,,,
2/15/2019 13:42:53,4,I gave this score because some people in the class are very annoying and they are  loud. But other then that this lass is very good a lot are people are nice to me and nice to everyone.,,,,,
2/15/2019 14:36:29,4,4.5 We don't talk a lot and we in general stay on task. We sometimes talk when Mr. Liberman.,,,,,
