Pro/Con,Rating,Suggestion,Student Rating
noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,1,0,
People keep talking when they are not suppose to and I can't focus. Helping each other.,1,0,
nothing will help with this class getting better.ihvohfayrwsfibwiubfiwbefibweibfi,1,0,
I think because there to many things that are wrong.Also people say they don't want to do something but they still do it,1,0,
There are certain type of people that play around and start singing and start roasting people for no reason and it makes me think that this class is the worst class,1,0,
i get too much work when we get a lot of work it hits and i start getting confused because i get worried about something and other works and it gets me stressed,1,0,
I hate this class cuz it's boring. And it sucks. A substitute everyday would make this class the best,1,1,
Make it fun please so we won't be bored.Please and thank you for everything.,2,0,
"For the class to improve is to include more free time minutes. Also, to improve this class is for everyone to follow the one mic.",2,1,
Nothing SHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,2,0,
"To improve this class, we should have a game or a break every after work done.",2,1,
make it less boring.(ci2jj9e0cke9ci9cciii-04gu49fghnjuytrfvbhyt5rdfvbhyt5rdfcvgtr) don't mind,2,1,
because i don't do it and i will try to finish my work...........................................,2,0,
It's kind of boring and we should play more kahoot. AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2,1,
the class is not good and it's not that bad either. Some people don't really do work but some do.,2,0,
I chose this score because this class is good but it can be better.(slv ovj dojd don't mind this plz),2,0,
The bad thing about the class is people being mean to each other i think it could be better is be nice to people and respect them.,2,0,
I gave it a 4 because my class be sometimes making us stay in for lunch and then sometimes we don't.,2,0,
i gave this score because the class is not always quiet and just playing games instead of doing work,2,0,
Because this class and get on my nerves and i don't know they could be fun sometimes....................,2,0,
that people yell and teachers yell at us and we don't have enough time to finish our work.,2,0,
"I gave it cause that's the best score to rate the class, the class ok, and not bad i like the class",2,0,
bc we've working hard in class and we've been pushing out butt off.hghghghghghg,2,0,
i think this because this class could be better if everyone did a great job.,2,,
sub2pewdiepie big NOOB you big noob big noob big noob big noob big nooooooooooooooooooooob,2,0,
This class was better than last year class. The only problem is that we come after lunch so were hyper.,2,0,
The class is half bad and good because some people don't really pay attention and listen when the harmonica is blown. I don't know what could make the class better than before. Something good about this class is that they get their work done.,2,0,
You have favorites and I don't like it and more reasons. The reason I gave it this score was because you are hard on certain students.,2,0,
I chose 3 because there is a lot of work in this class. And because i think it is 3,2,0,
people talk to much which makes us wait for a very long amount of time and we don't get to P.E early or on time,2,0,
I chose this score because the classwork is easy and all but the teachers be getting on the students nerves sometimes acting like we cant do nothing,2,0,
some of the class do not listen and do not participate. this class has bullies,2,1,
i gave it a 3 because i mean i dont think im doing so great right now in this class.,2,0,
"We do to mush ELA in this class,I want more social studies stuff. And hands on projects.",2,1,
There are some annoying people. They're quite destructive and they also make also make a lot of noise ,2,0,
it's the people talking a lot,2,,
I don't really know what to add to improve for our class this weeeeeeeeeeeeeeee,4,0,
no I don't have any suggestions on how this class could improve i think this class is ok right now.,4,0,
pay attention in class and use one mic and be respectful to others and adults,4,1,
one way to improve this class is if everyone is listening when Mr. piper is talking,4,1,
"Uhm, to improve this class for our last month is giving more lessons and giving suggestions on what can improve on.",4,1,
Nothing' that's one sentence..,4,1,
more circle for people to actually learn because people keep on talking and not listening to instructions.,4,1,
focus and listen to the teacher more. Also do their work at class more. Also come after school or lunch for missing work.,4,1,
"Don't Talk a lot, 1 mic erjpgiuandfjks;oiiroehgu[oooqriepoeopjf[djskjfklioerh0",4,1,
do more circle and we could have more time to finish our work.,4,1,
I think we should all talk and get in a circle for circle time in class or have free time.,4,3,
"Listen to the teacher, not loud at all times, follow directions, Do work at all times.",4,3,
everyone to keep quiet when teacher is talking and we need to be nice to people when they say something.,4,3,
